abduction	621	3.19	1.94	4.95	1.99	4.25	2.05	1
abortion	622	4	2.11	4.72	2.22	5.44	2.33	6
absurd	623	3.86	2.14	4.09	2.43	4.76	2	17
abundance	624	6.62	2.16	5.9	2.72	6.05	2.24	13
abuse	1	2.78	1.3	6.67	2.4	3.33	2.45	18
acceptance	625	7.75	1.25	6	2.25	6.75	1.86	49
accident	2	2	1.06	5.94	3.27	3.53	2.15	33
ace	626	7.7	1.34	6.35	2.62	6.45	2.58	15
ache	627	3	1.76	5.26	2.28	3.89	1.82	4
achievement	3	7.58	1.73	4.42	2.61	6.67	2.1	65
activate	4	5.89	0.93	4.44	2.7	5.56	2.19	2
addict	581	2.84	2.53	5.64	2.56	3.76	2.59	1
addicted	628	2.75	1.33	4.5	2.24	3.65	2.03	3
admired	5	7.6	1.45	6.4	1.99	7.73	1.22	17
adorable	6	7.35	1.37	5.38	2.39	5.31	2.27	3
adult	546	6.48	1.53	4.72	2.25	5.92	1.85	25
advantage	629	7.26	1.45	5.37	1.98	6.37	2.36	73
adventure	630	7.23	1.69	6.91	2.43	6.38	1.77	14
affection	7	7.9	0.99	6.1	2.56	5.2	2.35	18
afraid	8	2.42	1.56	6.67	2.35	5.25	3.08	57
aggressive	9	5.58	1.31	6.17	2.48	6.5	1.68	17
agility	22	7.1	1.52	4.2	1.81	6.1	2.18	3
agony	10	2.47	2.29	5.47	2.77	4.6	2.16	9
agreement	631	6.74	1.52	4.89	1.94	6.47	1.98	106
air	632	6.47	1.61	4.68	2.36	5.21	1.93	257
alcoholic	582	3.72	2.81	5.36	2.6	4.84	2.54	3
alert	11	5.55	1.64	6.65	2.6	6.55	1.64	33
alien	633	6.36	1.65	5.77	1.93	4.32	2.1	16
alimony	634	3.21	1.55	3.67	2.13	4	2	2
alive	635	6.6	2.48	5.35	2.72	6.8	1.94	57
allergy	636	3.2	1.79	4.6	2.23	2.95	1.93	1
alley	637	4.76	1.76	4.62	1.91	4.38	1.28	8
alone	12	3.07	2.34	4.13	2.72	3.87	2.45	195
aloof	13	5.24	1.92	3.88	1.8	4.82	1.67	5
ambition	14	5.95	1.99	5.85	2.7	6.2	2.26	19
ambulance	15	3	1.33	6.6	1.78	3.8	2.49	6
angel	16	6.8	2.35	5.3	2.83	4.4	2.07	18
anger	17	2.87	1.25	6.73	2.31	5.47	2.23	48
angry	18	3.87	1.55	6.67	2.09	6.21	2.81	45
anguished	19	2.7	1.89	4.45	2.33	3.7	2.18	2
ankle	638	5.63	1.42	4.53	2.09	4.68	1.95	8
annoy	20	3	1.41	6.5	1.45	5.09	1.58	2
answer	639	7	1.7	5.68	2.21	6.11	2.21	152
anxious	21	4.8	1.93	6.7	2.06	5.8	1.81	29
applause	640	7.33	1.37	5.83	2.57	6.89	1.91	14
appliance	641	5.05	1.62	4.23	2.33	5.09	1.6	5
arm	642	5.5	1.79	4.4	2.74	5.05	2.01	94
army	23	4.9	1.52	4.65	2.01	5.2	2.38	132
aroused	24	8	1.15	6.22	3.07	6.1	2.69	20
arrogant	25	4.69	2.8	5.12	2.74	5.88	2.53	2
art	643	5.7	2.36	4.6	2.6	4.75	2.49	208
assassin	26	4.33	2.19	5.73	2.74	4.86	2.57	6
assault	27	2.55	1.86	7.17	2.25	5.73	2.65	15
astonished	28	6.5	1.55	6.44	2.34	5.18	1.94	6
astronaut	501	6.79	1.64	4.92	2.1	5.33	1.83	2
athletics	644	6.76	2.05	6.71	2.08	6.19	1.99	9
autumn	29	5.93	1.83	4.87	2.45	4.93	1.62	22
avalanche	645	3.62	2.16	5.29	2.22	4	1.9	1
avenue	646	5.15	1.23	4.4	1.85	5.05	1.57	46
awed	30	6.35	1.5	6.05	2.16	4.75	2.27	5
baby	31	7.71	1.49	6.25	2.49	4.56	2.94	62
bake	647	6.32	1.25	4.7	2.54	5.22	1.63	12
bandage	648	4	1.81	3.8	1.77	4.3	1.98	4
bankrupt	32	2.24	1.52	5.71	2.82	2.94	2.43	5
banner	649	5.35	0.67	3.65	1.73	4.8	1.77	8
bar	650	7	2.08	5.5	2.7	5.85	2.21	82
barrel	651	5.3	1.66	3.75	2.71	4.9	2.1	24
basket	547	5.6	1.22	3.36	2.04	5.92	1.29	17
bastard	33	3.2	2.11	6.38	2.5	4.5	2.18	12
bath	502	7.24	1.36	4.76	1.85	5.72	1.49	26
bathroom	548	5.92	1.38	3.84	1.89	5.72	1.7	18
bathtub	652	6.64	1.68	5.36	2.26	5.73	1.88	4
beach	34	8.47	0.87	6.88	2.19	5.81	2.56	61
beast	653	5.1	2.51	6	2.29	5.65	2.39	7
beautiful	654	7.23	2	6.36	2.46	6.1	1.61	127
beauty	35	7.47	1.13	5.6	2.16	5.33	1.5	71
bed	549	7.88	1.09	4.04	2.85	7	1.87	127
bees	583	3.24	2.07	6.72	2.3	4.56	2.31	15
beggar	36	3.95	2.04	4	1.92	4.6	2.19	2
bench	655	4.56	1.34	3.33	1.78	5.06	1.59	35
bereavement	656	4.63	1.54	4.26	2.16	3.95	1.72	4
betray	37	1.85	1.14	7.17	2.08	5.75	1.91	4
beverage	657	6.8	1.54	5.55	2.37	5.8	2.04	5
bird	38	6.92	1.38	2.67	2.02	4.58	2.47	31
birthday	39	7.4	2.82	6.6	2.13	5.4	2.64	18
black	543	5.92	1.38	4.54	2.21	5.88	1.57	203
blackmail	40	3	1.56	5.2	2.78	3	2.26	2
bland	658	4.1	1.02	3.45	2.19	4.95	1.23	3
blase	41	5	1.32	4.35	1.69	4.38	1.93	7
blasphemy	659	3.65	2.11	4.55	2.37	4.75	1.83	4
bless	42	6.35	2.18	4.12	2.29	5.29	2.05	9
blind	43	2.71	1.83	3.69	2.18	3.06	1.91	47
bliss	660	7.17	1.79	5.06	3.06	6.5	2.23	4
blister	661	3.48	1.91	3.81	2.11	4.38	1.99	3
blond	662	6.64	2.44	6.05	2.79	6	2.05	11
bloody	584	3.76	2.3	6.32	2.36	4.32	1.91	8
blossom	44	7.53	1.41	5.67	3.02	5.53	2.29	7
blubber	663	3.83	2.09	4.56	2.15	4.5	1.92	1
blue	544	7.16	1.52	4	2.08	5.92	1.38	143
board	664	4.58	1.22	3.26	1.94	4.63	2.01	239
body	665	5.75	2.47	5.6	2.78	5.25	2.22	276
bold	45	6.25	1.71	4.75	2.53	6.92	1.38	21
bomb	46	2.7	1.16	6.7	2.41	4.6	1.35	36
book	47	5.9	1.83	4.15	2.3	5.15	1.84	193
bored	48	2.82	1.47	2.88	2.28	4.06	1.48	14
bottle	666	6.09	1.54	5.45	1.9	4.68	1.78	76
bouquet	667	6.52	1.99	5.1	2.41	6.24	1.41	4
bowl	49	4.8	0.63	3.4	2.12	5	1.56	23
boxer	585	6.12	1.51	5.2	2.25	5.48	1.9	1
boy	50	5.4	0.74	3.73	2.09	4.33	2.02	242
brave	668	6.76	2.02	5.95	2.6	7.14	1.9	24
breast	51	8.13	1.3	6.8	2.21	6.07	2.22	11
breeze	669	6.52	1.97	4.29	2.15	5.57	1.63	14
bride	670	6.7	1.92	4.7	2.56	5.84	2.14	33
bright	671	7.05	1.61	5.45	2.21	6.15	1.14	87
broken	672	3.5	2.26	5.39	2.45	4.17	1.98	63
brother	52	6.83	1.53	5.55	2.07	5.36	1.36	73
brutal	53	3.25	1.94	5.65	2.6	5.2	2.09	7
building	550	5.56	1.23	4.08	2.12	5.24	1.54	160
bullet	673	4.2	1.96	5.45	1.99	5.2	2.4	28
bunny	54	6.71	1.05	4.38	2.6	4.88	2.06	1
burdened	55	2.71	0.91	5.46	2.26	5.62	2.14	4
burial	56	2.62	1.85	4.64	2.56	3.92	1.98	11
burn	586	3.12	1.99	6.4	1.85	4.52	1.98	15
bus	541	4.72	1.28	3.32	1.99	5.04	1.93	34
busybody	674	4.81	1.21	4.29	1.93	4.57	1.6	.
butter	57	5.4	0.97	3.3	1.77	4.5	1.08	27
butterfly	58	6.58	1	3.45	2.02	4.55	2.3	2
cabinet	675	5.1	0.31	3.45	1.7	4.7	1.81	17
cake	59	7.27	1.16	5.13	2.26	5.2	2.14	9
cancer	60	1.75	0.97	6.83	2.37	3.33	3.06	25
candy	61	6	1.34	4.1	2.27	5	1.84	16
cane	677	3.58	1.95	4.42	1.87	4.47	2.17	12
cannon	678	5.71	2.39	5.14	2.85	5.48	2.4	7
capable	62	7	1.31	5.6	1.68	5.73	1.98	66
car	551	7.84	1.28	5.64	2.16	6.6	2.1	274
carcass	679	4.21	1.81	5.11	1.79	5.53	1.65	7
carefree	63	7.75	1.36	2.67	2.42	5.33	2.71	9
caress	64	7.58	1.31	4.5	3.32	6.08	1.93	1
cash	503	8.28	0.94	7.08	2.77	6.76	2.31	36
casino	680	6.9	1.79	6.76	1.97	5.14	2.22	2
cat	504	5.33	2.6	4.08	2.32	6.54	2	.
cell	587	3.33	1.93	3.67	2.44	4.12	2.36	65
cellar	681	4.45	1.57	4.3	2.45	4.9	1.94	26
cemetery	65	3.42	1.38	4.45	2.25	4.73	2.05	15
chair	66	5.3	0.95	3.4	1.84	4.7	0.67	66
champ	682	7.22	1.4	6.22	1.48	6.28	1.87	1
champion	67	8.42	1.08	4.83	3.43	6.08	3.45	23
chance	683	6.42	1.61	5.63	2.43	4.74	1.76	131
chaos	684	4.5	2.16	6.3	1.81	4	1.59	17
charm	68	6.67	1.63	5.47	2.42	5.87	1.96	26
cheer	69	7.7	1.38	5.95	2.37	5.55	1.99	8
child	70	6.15	2.23	5.75	1.77	5.35	2.25	213
chin	685	5.36	1.43	3.64	2.11	5.41	1.71	27
chocolate	505	6.8	1.83	4.88	2.67	5.36	2.06	9
christmas	686	7.58	1.61	6.05	2.68	5.37	2.27	27
church	71	5.29	2.67	4.69	3.09	4.62	2.9	348
circle	687	5.3	1.17	3.65	1.93	5.16	1.3	60
circus	72	6.76	1.52	5.38	2.47	5	2.1	7
city	73	5.67	1.5	4.53	2.07	4.53	1.73	393
cliff	553	4.96	2.23	5.88	2.3	5.04	1.84	11
clock	688	4.86	1.73	3.95	2.38	4.59	1.76	20
clothing	74	5.93	2.16	4.15	2.91	5.33	2.06	20
clouds	533	6.42	2.19	3.46	2.28	5.46	1.79	38
clumsy	689	4.06	2.07	4.78	2.29	4.06	1.73	6
coarse	690	4.65	1.09	4.5	1.57	5.05	1.32	10
coast	691	6.06	1.7	4.83	2.46	5.71	1.79	61
cockroach	75	3.73	2.05	5.33	2.66	5.47	2.5	2
coffin	76	3	2.11	4.3	2.79	4.2	2.53	7
coin	692	5.76	2.32	4.48	2.75	5.86	1.96	10
cold	693	3.9	1.94	5.4	1.85	4.65	1.76	171
color	694	7.05	1.65	4.63	2.71	6.32	1.97	141
column	695	5.15	1.04	3.7	2.05	5.25	1.71	71
comedy	77	8	0.95	6.36	2.06	4.82	1.99	39
comfort	696	6.45	2.21	4.35	2.87	5.7	2.08	43
computer	552	6.12	1.92	4.52	2.06	5.08	2.06	13
concentrate	78	4.83	1.11	4.73	1.62	4.82	1.47	11
confident	79	7.73	1.28	6.53	2.5	7.2	2.4	16
confused	80	3.27	0.65	5.55	1.92	4.33	1.61	44
consoled	81	5.71	1.65	4.94	2.02	4.81	1.83	2
contempt	82	4.2	1.87	4.9	0.88	5.5	1.18	15
contents	83	4.73	1.03	4.07	2.28	4.87	1.19	16
context	84	5.2	1.47	4.35	1.87	4.9	0.91	2
controlling	85	4.53	2.26	5.6	2.13	6.07	2.84	23
cook	697	6.05	1.22	4.21	1.72	5.42	1.43	47
cord	698	4.95	1.31	3.84	1.95	5	1.46	6
cork	699	5.16	1.34	3.89	1.94	4.89	0.94	9
corner	700	4.33	1.32	3.62	1.99	3.86	1.85	115
corpse	86	2.5	1.18	4.2	2.53	2.6	1.65	7
corridor	701	4.86	1.28	3.62	2.48	5.1	1.73	17
corrupt	702	4.15	2.54	5.05	2.35	4.9	2.22	8
cottage	87	5.87	0.99	4.2	2.6	4.93	1.58	19
couple	506	6.84	1.77	5.36	2.4	6.08	1.91	122
cow	554	5.72	1.62	3.12	2.13	5.8	1.41	29
coward	703	2.75	1.77	3.9	2.1	2.75	1.52	8
cozy	88	7.53	1.36	3.73	2.34	4.67	2.23	1
crash	89	2.6	1.51	7	2.26	4	2.11	20
crime	704	3.55	2.44	5	2.96	4.68	2.38	34
criminal	705	3.25	1.65	3.86	2.33	3.65	1.73	24
crisis	706	4.17	2.43	4.89	2.79	4.72	1.96	82
crown	90	6.2	1.4	3.4	2.59	5.1	2.13	19
crucify	91	2.53	1.68	5.8	2.98	3.8	2.11	2
crude	707	3.74	1.59	5	2.11	4.84	1.77	15
cruel	92	2.64	2.41	5.27	2.46	4.93	2.79	15
crushed	93	2.83	2.29	5.73	2.69	4.73	3.1	10
crutch	708	3.94	1.63	4.5	1.76	3.67	1.78	1
cuddle	94	7.3	2.15	5.1	2.69	5.75	2.29	.
cuisine	709	6.89	1.64	4.83	1.95	5.5	1.34	1
curious	95	6.8	1.23	5.8	2.1	5.7	1.95	46
curtains	710	5	0.58	3.65	1.98	5.11	1.49	8
custom	96	5.53	1.41	4.67	2.23	4.87	2.03	14
cut	711	3.7	1.89	4.75	2.49	4.9	2.17	192
cute	97	7.24	0.97	6.38	2.16	4.88	2.53	5
cyclone	98	4.35	2.18	6.2	2.95	5.1	2.31	.
dagger	99	4.53	1.81	5.47	2.87	4.47	1.84	1
damage	712	3.7	1.75	5.05	2.26	4.2	1.99	33
dancer	507	6.8	1.53	5.32	2.3	5.64	1.73	31
danger	713	4.56	2.33	7.17	1.65	4.56	2.33	70
dark	714	4.9	1.81	4.48	1.81	4.38	1.72	185
dawn	715	6.1	2.49	4.35	2.78	4.95	2.72	28
daylight	716	6.56	2.28	5.17	2.04	5.61	2.15	15
dazzle	717	7.33	1.06	6.38	2.01	5.19	2.16	1
dead	588	2.48	2.29	5.4	2.84	2.96	2.42	174
death	100	1.69	1.14	4.41	2.87	4.62	2.25	277
debt	101	2.4	1.12	4.33	2.66	3	2.2	13
deceit	718	3.26	1.63	5.63	2.45	4.63	1.89	2
decompose	102	3.95	1.73	4.2	2.4	4.45	1.96	1
decorate	719	6.5	1.36	5	2.68	5.9	2.02	2
defeated	103	2.42	1.5	4.35	2.7	3	2.1	15
defiant	104	4.64	1.86	5.27	2.87	4.91	1.22	3
deformed	720	2.95	1.75	3.62	2.18	4.29	2.43	.
delayed	721	3.15	2.01	5.1	2.17	3.4	1.6	25
delight	105	7.92	1.31	5.73	2.49	5.09	2.02	29
demon	106	3.2	1.61	5.93	3.01	5.07	2.52	9
dentist	589	3.56	2.22	5.6	2.55	3.6	2.04	12
depressed	107	2.33	1.45	4	2.33	2.87	1.68	11
depression	108	2.6	2.21	4.55	3.05	2.9	2.07	24
derelict	722	4.45	1.93	4.1	1.68	4.95	1.73	1
deserter	109	3.53	2.13	4.8	2.31	4.8	2.31	.
desire	508	7.72	1.31	7.24	1.92	6.2	1.94	79
despairing	110	2.93	2.05	5.6	2.41	4.07	2.25	4
despise	111	2.08	1.19	5.86	2.35	5.38	2.4	7
destroy	112	4	2.75	6.3	2.91	6.1	2.42	48
destruction	723	4.78	2.46	6.17	2.53	5.11	2	38
detached	113	3.82	2.04	4.19	2.51	3.73	1.91	12
detail	724	5.73	1.49	4.36	2.36	5.45	1.6	72
detest	114	2.8	1.55	5.8	2.2	5.8	2.1	1
devil	115	2.59	2.12	5.06	2.73	5.82	2.6	25
devoted	116	7.1	1.45	5.7	1.77	4.9	2.64	51
diamond	117	7.92	1.38	5	2.97	5.36	2.76	8
dignified	118	6.82	1.01	3.41	1.97	6.06	2.49	7
dinner	509	7.48	1.19	5.52	2.4	6.48	1.78	91
diploma	119	7.64	1.12	5.64	2.25	6.42	2.47	.
dirt	725	4.41	1.92	3.41	2.34	4.95	2.36	43
dirty	590	3.88	2.44	5.21	2.75	4.83	2.5	36
disappoint	120	2.6	1.5	4.6	2.59	3.53	2.2	.
disaster	121	2.25	1.33	6.05	2.54	3.65	1.9	26
discomfort	726	2.41	1.5	3.73	2.29	3.68	2.57	7
discouraged	122	3	1	4	2.33	3.2	1.52	15
disdainful	123	3.93	1.71	4.67	1.76	4.87	1.81	2
disgusted	124	2.6	1.45	4.47	2.47	4.8	1.66	6
disloyal	125	2.38	1.5	5.82	2.63	4.81	2.46	2
displeased	126	2.76	2.17	4.81	2.4	4.75	1.98	7
distressed	127	2	0.63	6.42	2.15	5	1.9	4
disturb	727	3.67	1.75	5.72	1.96	4.06	1.35	10
diver	510	6.6	1.63	4.96	2.49	5.2	1.91	1
divorce	128	2.4	1.85	5.3	2.98	3.75	2.47	29
doctor	129	4.67	2.29	5.53	2.64	5.07	2.63	100
dog	511	7.68	1.65	5.4	2.99	6.44	2.08	75
doll	728	5.05	1.65	3.37	2.11	4.16	2.19	10
dollar	729	7.24	2.05	6.43	2.27	6.86	2.2	46
door	130	5.16	1.5	4.32	2.38	4.79	1.58	312
dove	730	6.45	1.47	4.55	1.79	6	1.62	4
dreadful	131	2.38	2	5.71	2.69	5.06	1.84	10
dream	132	6.47	1.65	4.42	2.5	4.84	1.74	64
dreary	731	3.24	1.45	3.05	2.13	3.81	1.6	6
dress	133	5.87	0.99	4.67	1.72	4.6	1.64	67
drown	591	1.96	1.72	6.68	2.64	2.76	1.98	3
dummy	732	3	1.34	4.38	2.18	3.48	1.86	3
dump	733	3.71	2.03	4.38	2.48	4.05	1.8	4
dustpan	555	4.24	1.74	3.36	1.82	5.4	1.68	.
earth	134	6.79	1.72	4.08	2.1	6.69	2.1	150
easy	734	7.09	2.11	5.55	2.39	7.18	1.59	125
easygoing	135	6.75	1.42	4	2.56	5.08	1.83	1
eat	136	8	1.32	6.6	2.29	6	2.17	61
ecstasy	735	8.14	1.13	7.82	1.44	7.1	1.79	6
education	137	6.55	1.36	5.6	2.44	5.85	1.81	214
egg	736	5.11	1.63	3.63	2.54	4.26	2.38	12
elated	138	7.47	1.51	6.2	2.11	5.53	2.72	3
elbow	737	4.9	0.45	3.7	2	4.8	1.77	10
elegant	139	7.08	1.56	4.92	2.97	5.5	2.35	14
elevator	738	5.1	0.64	3.57	2.09	4	1.59	12
embarrassed	140	3.93	2.12	5.87	2.42	3.47	2.67	8
embattled	141	5	2.16	5.9	2.23	5.1	2.38	1
employment	147	5.73	2.05	5.33	2.02	4.6	1.59	47
engaged	143	7.33	1.5	6.07	1.91	6.2	1.66	47
engine	148	5.27	1.49	4.93	2.19	5.13	1.41	50
enjoyment	145	7.7	1.22	5.7	2.7	6.35	1.42	21
ennui	146	5.17	1.64	3.92	2.43	5	1.65	.
enraged	149	2.3	1.64	7.9	2.13	7.7	2.45	1
erotic	512	8.16	1.07	7.72	1.81	7.04	1.9	8
errand	150	4.36	1.78	4	1.91	5.62	1.45	7
event	740	6.41	1.92	5.59	2.52	5.73	2.03	81
evil	741	4.33	2.7	6.56	2.36	6.17	1.58	72
excellence	151	8.3	0.82	4.7	2.26	7.4	2.17	15
excitement	152	6.87	2.36	6.93	2.43	5.6	1.84	32
excuse	153	3.82	1.88	4.88	2.64	3.71	2.31	27
execution	154	3.27	2.46	5.53	2.77	4.27	2.22	15
exercise	155	6.93	1.91	7.13	2.2	6.07	2.74	58
fabric	742	5.21	1.44	3.95	1.82	4.79	1.44	15
face	556	6.12	1.76	4.76	2.37	5.28	1.51	371
failure	156	2.27	1.22	4	2.54	2.67	1.95	89
fall	743	3.86	2.22	4.81	2.54	4.29	2.15	147
false	744	3.24	1.58	3.27	2.23	4.38	1.66	29
fame	157	7.92	1.31	5.17	3.01	6.5	2.28	18
family	158	7.5	1.79	5	2.64	6	1.86	331
famous	745	7.39	1.2	6.11	2.47	6.61	2.06	89
fantasy	746	7.39	1.5	6	2.45	6.72	1.93	14
farm	557	5.4	1.98	3.6	1.94	5.68	1.7	125
fascinate	159	7.13	2.23	6.07	2.6	5.67	1.63	3
fat	160	2.94	2.11	2.82	1.47	5.56	2.76	60
father	161	6.8	2.18	5.47	2.97	3.8	2.91	383
fatigued	162	3.56	1.26	2.69	1.99	4.35	2.21	3
fault	747	3.14	1.58	3.73	1.91	4.09	2	22
favor	748	6.58	1.54	4.89	1.91	5.44	1.89	78
fear	592	3.75	2.45	6.71	2.48	3.88	2.36	127
fearful	163	2.1	0.99	5.5	2.32	3.5	1.78	13
feeble	164	3.59	1.7	3.94	2.44	2.88	1.65	8
festive	749	7.26	1.33	6.63	2.14	5.67	2.4	2
fever	750	3.05	1.61	3.8	1.82	3.68	1.77	19
field	558	6.08	1.26	4.04	2.26	5.68	1.77	274
fight	751	4.81	2.73	6.9	2.36	5.71	2.39	98
filth	165	3.12	1.93	3.94	1.53	4.5	1.55	2
finger	752	5.29	1.42	4.05	2.16	5.24	2	40
fire	166	4.2	1.48	6.5	2.32	5.2	1.4	187
fireworks	513	7.8	1.12	6.56	2.16	5.56	2.06	5
fish	559	6.2	2.22	3.84	2.53	6.48	1.73	35
flabby	167	4.16	1.8	3.68	2.31	4.37	1.26	.
flag	753	5.9	1.89	5.4	2.19	5.65	1.98	16
flirt	754	7.48	1.03	6.9	1.64	6.45	2.06	1
flood	755	3.75	1.52	5.9	2.02	3.9	2.34	19
flower	168	6.06	1.53	4.6	2.23	4.73	1.75	23
foam	756	5.45	1.67	4.25	2.24	5.1	1.59	37
food	514	7.88	0.97	5.4	2.47	6.72	2.03	147
foot	757	5.06	0.8	3.5	1.86	5.17	1.72	70
